Algorithm,Test Case,Comparisons,Spearman Distance,Classification Error,Execution Time
Corsort,Lista 1,47,106.0,17,0.02157282829284668
Corsort,Lista 2,198,637.0,46,0.3024311065673828
Corsort,Lista 3,202,672.0,44,0.3428919315338135
Corsort,Lista 4,194,634.0,42,0.33187198638916016
Corsort,Lista 5,188,620.0,42,0.2931830883026123
Corsort,Lista 6,197,670.0,43,0.2800300121307373
Corsort,Lista 7,34,45.0,11,0.010827064514160156
Corsort,Lista 8,117,374.0,31,0.08901691436767578
Corsort,Lista 9,47,104.0,17,0.017411231994628906
Corsort,Lista 10,205,691.0,46,0.32855916023254395
Corsort,Lista 11,24,36.0,10,0.007149934768676758
Corsort,Lista 12,80,187.0,22,0.04703807830810547
Corsort,Lista 13,79,182.0,24,0.0433650016784668
Corsort,Lista 14,133,443.0,33,0.1163640022277832
Corsort,Lista 15,45,106.0,13,0.015510082244873047
Corsort,Lista 16,173,569.0,41,0.21316790580749512
Corsort,Lista 17,34,62.0,10,0.009073972702026367
Corsort,Lista 18,186,522.0,41,0.29765772819519043
Corsort,Lista 19,164,538.0,37,0.18552184104919434
Corsort,Lista 20,216,759.0,44,0.3602747917175293
Multizip Sort,Lista 1,62,106.0,17,0.00015807151794433594
Multizip Sort,Lista 2,213,637.0,46,0.00012421607971191406
Multizip Sort,Lista 3,203,672.0,44,0.00012087821960449219
Multizip Sort,Lista 4,217,634.0,42,0.0001270771026611328
Multizip Sort,Lista 5,250,620.0,42,0.0001289844512939453
Multizip Sort,Lista 6,313,670.0,43,0.00013685226440429688
Multizip Sort,Lista 7,42,45.0,11,0.00014781951904296875
Multizip Sort,Lista 8,128,374.0,31,0.0001049041748046875
Multizip Sort,Lista 9,68,104.0,17,8.893013000488281e-05
Multizip Sort,Lista 10,296,691.0,46,0.0001373291015625
Multizip Sort,Lista 11,27,36.0,10,0.0001418590545654297
Multizip Sort,Lista 12,95,187.0,22,9.202957153320312e-05
Multizip Sort,Lista 13,115,182.0,24,9.489059448242188e-05
Multizip Sort,Lista 14,137,443.0,33,0.00010395050048828125
Multizip Sort,Lista 15,69,106.0,13,0.00022292137145996094
Multizip Sort,Lista 16,233,569.0,41,0.00018978118896484375
Multizip Sort,Lista 17,41,62.0,10,8.58306884765625e-05
Multizip Sort,Lista 18,200,522.0,41,0.00019097328186035156
Multizip Sort,Lista 19,187,538.0,37,0.0003662109375
Multizip Sort,Lista 20,231,759.0,44,0.0001556873321533203
Quick Sort,Lista 1,62,106.0,17,2.2172927856445312e-05
Quick Sort,Lista 2,215,637.0,46,4.792213439941406e-05
Quick Sort,Lista 3,205,672.0,44,4.1961669921875e-05
Quick Sort,Lista 4,215,634.0,42,4.38690185546875e-05
Quick Sort,Lista 5,246,620.0,42,4.2438507080078125e-05
Quick Sort,Lista 6,274,670.0,43,4.792213439941406e-05
Quick Sort,Lista 7,41,45.0,11,1.3113021850585938e-05
Quick Sort,Lista 8,130,374.0,31,3.0994415283203125e-05
Quick Sort,Lista 9,68,104.0,17,1.621246337890625e-05
Quick Sort,Lista 10,290,691.0,46,4.887580871582031e-05
Quick Sort,Lista 11,27,36.0,10,1.0967254638671875e-05
Quick Sort,Lista 12,105,187.0,22,2.3126602172851562e-05
Quick Sort,Lista 13,115,182.0,24,2.4080276489257812e-05
Quick Sort,Lista 14,134,443.0,33,3.0994415283203125e-05
Quick Sort,Lista 15,78,106.0,13,1.6927719116210938e-05
Quick Sort,Lista 16,202,569.0,41,3.981590270996094e-05
Quick Sort,Lista 17,42,62.0,10,1.4781951904296875e-05
Quick Sort,Lista 18,187,522.0,41,4.100799560546875e-05
Quick Sort,Lista 19,187,538.0,37,3.3855438232421875e-05
Quick Sort,Lista 20,247,759.0,44,5.1975250244140625e-05
Bubble Sort,Lista 1,136,106.0,17,2.3126602172851562e-05
Bubble Sort,Lista 2,1035,637.0,46,0.0001373291015625
Bubble Sort,Lista 3,1035,672.0,44,0.0001380443572998047
Bubble Sort,Lista 4,903,634.0,42,0.00012493133544921875
Bubble Sort,Lista 5,990,620.0,42,0.00013303756713867188
Bubble Sort,Lista 6,990,670.0,43,0.00013685226440429688
Bubble Sort,Lista 7,78,45.0,11,1.5020370483398438e-05
Bubble Sort,Lista 8,465,374.0,31,0.00018405914306640625
Bubble Sort,Lista 9,136,104.0,17,6.604194641113281e-05
Bubble Sort,Lista 10,1081,691.0,46,0.00014519691467285156
Bubble Sort,Lista 11,55,36.0,10,1.2159347534179688e-05
Bubble Sort,Lista 12,276,187.0,22,4.100799560546875e-05
Bubble Sort,Lista 13,276,182.0,24,4.076957702636719e-05
Bubble Sort,Lista 14,561,443.0,33,8.082389831542969e-05
Bubble Sort,Lista 15,120,106.0,13,2.3126602172851562e-05
Bubble Sort,Lista 16,861,569.0,41,0.00018310546875
Bubble Sort,Lista 17,78,62.0,10,1.7881393432617188e-05
Bubble Sort,Lista 18,903,522.0,41,0.00012803077697753906
Bubble Sort,Lista 19,780,538.0,37,0.0001518726348876953
Bubble Sort,Lista 20,1176,759.0,44,0.00021886825561523438
Heap Sort,Lista 1,85,106.0,17,7.319450378417969e-05
Heap Sort,Lista 2,379,637.0,46,9.179115295410156e-05
Heap Sort,Lista 3,374,672.0,44,9.608268737792969e-05
Heap Sort,Lista 4,329,634.0,42,0.00010180473327636719
Heap Sort,Lista 5,360,620.0,42,8.487701416015625e-05
Heap Sort,Lista 6,362,670.0,43,0.00011181831359863281
Heap Sort,Lista 7,58,45.0,11,2.193450927734375e-05
Heap Sort,Lista 8,204,374.0,31,9.512901306152344e-05
Heap Sort,Lista 9,85,104.0,17,5.1975250244140625e-05
Heap Sort,Lista 10,379,691.0,46,9.703636169433594e-05
Heap Sort,Lista 11,49,36.0,10,2.002716064453125e-05
Heap Sort,Lista 12,155,187.0,22,4.506111145019531e-05
Heap Sort,Lista 13,153,182.0,24,4.315376281738281e-05
Heap Sort,Lista 14,240,443.0,33,6.29425048828125e-05
Heap Sort,Lista 15,80,106.0,13,2.6226043701171875e-05
Heap Sort,Lista 16,318,569.0,41,8.487701416015625e-05
Heap Sort,Lista 17,59,62.0,10,2.002716064453125e-05
Heap Sort,Lista 18,340,522.0,41,8.797645568847656e-05
Heap Sort,Lista 19,297,538.0,37,7.891654968261719e-05
