algorithm,list_size,time,comparisons,spearman,classification_error
corsort,8,0.0034301280975341797,16,0.04761904761904763,6
multizip_sort,8,0.000164031982421875,18,0.04761904761904763,6
quick_sort,8,1.5020370483398438e-05,18,0.04761904761904763,6
heap_sort,8,1.9073486328125e-05,27,0.04761904761904763,6
merge_sort,8,1.8835067749023438e-05,16,0.04761904761904763,6
corsort,8,0.001909017562866211,14,-0.30952380952380953,8
multizip_sort,8,0.00010704994201660156,17,-0.30952380952380953,8
quick_sort,8,1.0013580322265625e-05,17,-0.30952380952380953,8
heap_sort,8,1.3828277587890625e-05,24,-0.30952380952380953,8
merge_sort,8,1.6927719116210938e-05,16,-0.30952380952380953,8
corsort,8,0.002034902572631836,16,0.261904761904762,8
multizip_sort,8,0.00010013580322265625,18,0.261904761904762,8
quick_sort,8,1.5020370483398438e-05,18,0.261904761904762,8
heap_sort,8,1.5735626220703125e-05,26,0.261904761904762,8
merge_sort,8,1.5974044799804688e-05,17,0.261904761904762,8
corsort,8,0.0021979808807373047,16,-0.19047619047619052,8
multizip_sort,8,0.00011301040649414062,16,-0.19047619047619052,8
quick_sort,8,1.2159347534179688e-05,16,-0.19047619047619052,8
heap_sort,8,1.621246337890625e-05,27,-0.19047619047619052,8
merge_sort,8,1.621246337890625e-05,15,-0.19047619047619052,8
corsort,8,0.0020461082458496094,16,0.4523809523809524,8
multizip_sort,8,0.0001010894775390625,16,0.4523809523809524,8
quick_sort,8,1.2159347534179688e-05,16,0.4523809523809524,8
heap_sort,8,1.5974044799804688e-05,25,0.4523809523809524,8
merge_sort,8,1.621246337890625e-05,15,0.4523809523809524,8
corsort,8,0.0024690628051757812,16,0.2380952380952381,7
multizip_sort,8,0.00010776519775390625,16,0.2380952380952381,7
quick_sort,8,1.4066696166992188e-05,16,0.2380952380952381,7
heap_sort,8,1.5974044799804688e-05,28,0.2380952380952381,7
merge_sort,8,1.6927719116210938e-05,17,0.2380952380952381,7
corsort,8,0.0019681453704833984,15,0.4096385542168674,7
multizip_sort,8,0.00011014938354492188,19,0.4096385542168674,7
