algorithm,list_size,time,comparisons,spearman,classification_error,min_time,relative_overhead
corsort,8,0.0034301280975341,16,0.0476190476190476,6,9.775161743164062e-06,34990.24390243821
multizip_sort,8,0.0001640319824218,18,0.0476190476190476,6,9.775161743164062e-06,1578.0487804870377
quick_sort,8,1.5020370483398438e-05,18,0.0476190476190476,6,9.775161743164062e-06,53.65853658536586
heap_sort,8,1.9073486328125e-05,27,0.0476190476190476,6,9.775161743164062e-06,95.1219512195122
merge_sort,8,1.883506774902344e-05,16,0.0476190476190476,6,9.775161743164062e-06,92.68292682926833
corsort,8,0.0019090175628662,14,-0.3095238095238095,8,9.775161743164062e-06,19429.268292682817
multizip_sort,8,0.0001070499420166,17,-0.3095238095238095,8,9.775161743164062e-06,995.1219512194962
quick_sort,8,1.0013580322265623e-05,17,-0.3095238095238095,8,9.775161743164062e-06,2.4390243902438824
heap_sort,8,1.3828277587890623e-05,24,-0.3095238095238095,8,9.775161743164062e-06,41.46341463414633
merge_sort,8,1.6927719116210938e-05,16,-0.3095238095238095,8,9.775161743164062e-06,73.17073170731707
corsort,8,0.0020349025726318,16,0.261904761904762,8,9.775161743164062e-06,20717.07317073134
multizip_sort,8,0.0001001358032226,18,0.261904761904762,8,9.775161743164062e-06,924.3902439018635
quick_sort,8,1.5020370483398438e-05,18,0.261904761904762,8,9.775161743164062e-06,53.65853658536586
heap_sort,8,1.5735626220703125e-05,26,0.261904761904762,8,9.775161743164062e-06,60.97560975609757
merge_sort,8,1.5974044799804688e-05,17,0.261904761904762,8,9.775161743164062e-06,63.414634146341456
corsort,8,0.0021979808807373,16,-0.1904761904761905,8,9.775161743164062e-06,22385.365853658488
multizip_sort,8,0.0001130104064941,16,-0.1904761904761905,8,9.775161743164062e-06,1056.097560975194
quick_sort,8,1.2159347534179688e-05,16,-0.1904761904761905,8,9.775161743164062e-06,24.390243902439025
heap_sort,8,1.621246337890625e-05,27,-0.1904761904761905,8,9.775161743164062e-06,65.85365853658536
merge_sort,8,1.621246337890625e-05,15,-0.1904761904761905,8,9.775161743164062e-06,65.85365853658536
corsort,8,0.0020461082458496,16,0.4523809523809524,8,9.775161743164062e-06,20831.707317073073
multizip_sort,8,0.000101089477539,16,0.4523809523809524,8,9.775161743164062e-06,934.1463414627751
quick_sort,8,1.2159347534179688e-05,16,0.4523809523809524,8,9.775161743164062e-06,24.390243902439025
heap_sort,8,1.5974044799804688e-05,25,0.4523809523809524,8,9.775161743164062e-06,63.414634146341456
merge_sort,8,1.621246337890625e-05,15,0.4523809523809524,8,9.775161743164062e-06,65.85365853658536
corsort,8,0.0024690628051757,16,0.2380952380952381,7,9.775161743164062e-06,25158.536585365026
multizip_sort,8,0.0001077651977539,16,0.2380952380952381,7,9.775161743164062e-06,1002.4390243901801
quick_sort,8,1.4066696166992188e-05,16,0.2380952380952381,7,9.775161743164062e-06,43.90243902439024
heap_sort,8,1.5974044799804688e-05,28,0.2380952380952381,7,9.775161743164062e-06,63.414634146341456
merge_sort,8,1.6927719116210938e-05,17,0.2380952380952381,7,9.775161743164062e-06,73.17073170731707
corsort,8,0.0019681453704833,15,0.4096385542168674,7,9.775161743164062e-06,20034.14634146241
multizip_sort,8,0.0001101493835449,19,0.4096385542168674,7,9.775161743164062e-06,1026.8292682924591
quick_sort,8,1.4781951904296877e-05,19,0.4096385542168674,7,9.775161743164062e-06,51.21951219512197
heap_sort,8,1.621246337890625e-05,26,0.4096385542168674,7,9.775161743164062e-06,65.85365853658536
merge_sort,8,1.621246337890625e-05,15,0.4096385542168674,7,9.775161743164062e-06,65.85365853658536
corsort,8,0.0019299983978271,15,-0.6428571428571429,8,9.775161743164062e-06,19643.902439023896
